common_name,month,pounds_caught,year,sci_name,commonname,classcode
rubberlip surfperch,july,0,2003,rhacochilus toxotes,rubberlip seaperch,rtox
kelp greenling,august,0,2003,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,august,0,2003,medialuna californiensis,halfmoon,mcal
lingcod,august,90,2003,ophiodon elongatus,lingcod,oelo
opaleye,august,0,2003,girella nigricans,opaleye,gnig
bat ray,august,0,2003,myliobatis californica,batray,bray
black-and-yellow rockfish,august,3,2003,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,august,0,2003,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,august,0,2003,sebastes paucispinis,bocaccio,spau
brown rockfish,august,168,2003,sebastes auriculatus,brown rockfish,saur
copper rockfish,august,0,2003,sebastes caurinus,copper rockfish,scau
gopher rockfish,august,135,2003,sebastes carnatus,gopher rockfish,scar
grass rockfish,august,1276,2003,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,august,0,2003,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,august,13,2003,sebastes miniatus,vermilion rockfish,smin
pacific sardine,august,71128,2003,sardinops sagax,Pacific sardine,ssag
california scorpionfish,august,35,2003,scorpaena guttata,California scorpionfish,sgut
california sheephead,august,5866,2003,semicossyphus pulcher,California sheephead,spul
black surfperch,august,0,2003,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,august,0,2003,rhacochilus toxotes,rubberlip seaperch,rtox
kelp greenling,september,0,2003,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,september,2,2003,medialuna californiensis,halfmoon,mcal
lingcod,september,209,2003,ophiodon elongatus,lingcod,oelo
opaleye,september,5,2003,girella nigricans,opaleye,gnig
bat ray,september,0,2003,myliobatis californica,batray,bray
black-and-yellow rockfish,september,0,2003,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,september,77,2003,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,september,0,2003,sebastes paucispinis,bocaccio,spau
brown rockfish,september,80,2003,sebastes auriculatus,brown rockfish,saur
copper rockfish,september,28,2003,sebastes caurinus,copper rockfish,scau
gopher rockfish,september,80,2003,sebastes carnatus,gopher rockfish,scar
grass rockfish,september,1193,2003,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,september,1,2003,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,september,0,2003,sebastes miniatus,vermilion rockfish,smin
pacific sardine,september,5579,2003,sardinops sagax,Pacific sardine,ssag
california scorpionfish,september,2,2003,scorpaena guttata,California scorpionfish,sgut
california sheephead,september,3996,2003,semicossyphus pulcher,California sheephead,spul
black surfperch,september,0,2003,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,september,0,2003,rhacochilus toxotes,rubberlip seaperch,rtox
kelp greenling,october,0,2003,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,october,0,2003,medialuna californiensis,halfmoon,mcal
lingcod,october,279,2003,ophiodon elongatus,lingcod,oelo
opaleye,october,0,2003,girella nigricans,opaleye,gnig
bat ray,october,0,2003,myliobatis californica,batray,bray
black-and-yellow rockfish,october,0,2003,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,october,108,2003,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,october,0,2003,sebastes paucispinis,bocaccio,spau
brown rockfish,october,0,2003,sebastes auriculatus,brown rockfish,saur
copper rockfish,october,0,2003,sebastes caurinus,copper rockfish,scau
gopher rockfish,october,128,2003,sebastes carnatus,gopher rockfish,scar
grass rockfish,october,30,2003,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,october,0,2003,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,october,0,2003,sebastes miniatus,vermilion rockfish,smin
pacific sardine,october,169997,2003,sardinops sagax,Pacific sardine,ssag
california scorpionfish,october,0,2003,scorpaena guttata,California scorpionfish,sgut
california sheephead,october,1835,2003,semicossyphus pulcher,California sheephead,spul
black surfperch,october,0,2003,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,october,0,2003,rhacochilus toxotes,rubberlip seaperch,rtox
kelp greenling,november,0,2003,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,november,0,2003,medialuna californiensis,halfmoon,mcal
lingcod,november,24,2003,ophiodon elongatus,lingcod,oelo
opaleye,november,0,2003,girella nigricans,opaleye,gnig
bat ray,november,0,2003,myliobatis californica,batray,bray
black-and-yellow rockfish,november,7,2003,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,november,73,2003,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,november,477,2003,sebastes paucispinis,bocaccio,spau
brown rockfish,november,9,2003,sebastes auriculatus,brown rockfish,saur
copper rockfish,november,73,2003,sebastes caurinus,copper rockfish,scau
gopher rockfish,november,0,2003,sebastes carnatus,gopher rockfish,scar
grass rockfish,november,222,2003,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,november,2,2003,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,november,0,2003,sebastes miniatus,vermilion rockfish,smin
pacific sardine,november,953437,2003,sardinops sagax,Pacific sardine,ssag
california scorpionfish,november,8,2003,scorpaena guttata,California scorpionfish,sgut
california sheephead,november,3246,2003,semicossyphus pulcher,California sheephead,spul
black surfperch,november,0,2003,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,november,0,2003,rhacochilus toxotes,rubberlip seaperch,rtox
kelp greenling,december,0,2003,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,december,0,2003,medialuna californiensis,halfmoon,mcal
lingcod,december,0,2003,ophiodon elongatus,lingcod,oelo
opaleye,december,3,2003,girella nigricans,opaleye,gnig
bat ray,december,0,2003,myliobatis californica,batray,bray
black-and-yellow rockfish,december,0,2003,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,december,0,2003,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,december,0,2003,sebastes paucispinis,bocaccio,spau
brown rockfish,december,0,2003,sebastes auriculatus,brown rockfish,saur
copper rockfish,december,0,2003,sebastes caurinus,copper rockfish,scau
gopher rockfish,december,0,2003,sebastes carnatus,gopher rockfish,scar
grass rockfish,december,0,2003,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,december,0,2003,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,december,0,2003,sebastes miniatus,vermilion rockfish,smin
pacific sardine,december,955043,2003,sardinops sagax,Pacific sardine,ssag
california scorpionfish,december,0,2003,scorpaena guttata,California scorpionfish,sgut
california sheephead,december,445,2003,semicossyphus pulcher,California sheephead,spul
black surfperch,december,0,2003,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,december,0,2003,rhacochilus toxotes,rubberlip seaperch,rtox
kelp greenling,january,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,january,0,2004,medialuna californiensis,halfmoon,mcal
lingcod,january,0,2004,ophiodon elongatus,lingcod,oelo
opaleye,january,0,2004,girella nigricans,opaleye,gnig
bat ray,january,0,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,january,0,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,january,0,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,january,0,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,january,2,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,january,40,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,january,0,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,january,0,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,january,0,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,january,46,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,january,738757,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,january,8,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,january,297,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,january,0,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,january,0,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,january,0,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,february,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,february,0,2004,medialuna californiensis,halfmoon,mcal
lingcod,february,0,2004,ophiodon elongatus,lingcod,oelo
opaleye,february,0,2004,girella nigricans,opaleye,gnig
bat ray,february,0,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,february,0,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,february,0,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,february,12,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,february,0,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,february,0,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,february,0,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,february,0,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,february,0,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,february,82,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,february,230300,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,february,0,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,february,0,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,february,0,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,february,0,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,february,0,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,march,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,march,0,2004,medialuna californiensis,halfmoon,mcal
lingcod,march,0,2004,ophiodon elongatus,lingcod,oelo
opaleye,march,0,2004,girella nigricans,opaleye,gnig
bat ray,march,0,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,march,2,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,march,45,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,march,41,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,march,276,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,march,433,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,march,33,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,march,530,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,march,9,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,march,328,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,march,947462,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,march,204,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,march,3324,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,march,0,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,march,1,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,march,0,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,april,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,april,0,2004,medialuna californiensis,halfmoon,mcal
lingcod,april,42,2004,ophiodon elongatus,lingcod,oelo
opaleye,april,0,2004,girella nigricans,opaleye,gnig
bat ray,april,0,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,april,7,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,april,0,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,april,310,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,april,76,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,april,1269,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,april,26,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,april,390,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,april,0,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,april,1687,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,april,128722,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,april,235,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,april,5265,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,april,0,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,april,1,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,april,2,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,may,1,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,may,0,2004,medialuna californiensis,halfmoon,mcal
lingcod,may,782,2004,ophiodon elongatus,lingcod,oelo
opaleye,may,0,2004,girella nigricans,opaleye,gnig
bat ray,may,12,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,may,4,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,may,1,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,may,81,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,may,57,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,may,528,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,may,21,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,may,832,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,may,0,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,may,233,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,may,71987,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,may,430,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,may,4901,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,may,0,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,may,10,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,may,0,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,june,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,june,0,2004,medialuna californiensis,halfmoon,mcal
lingcod,june,926,2004,ophiodon elongatus,lingcod,oelo
opaleye,june,0,2004,girella nigricans,opaleye,gnig
bat ray,june,0,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,june,10,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,june,19,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,june,1316,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,june,113,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,june,662,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,june,31,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,june,748,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,june,3,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,june,1049,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,june,241440,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,june,55,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,june,5996,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,june,0,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,june,1,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,june,0,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,july,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,july,1,2004,medialuna californiensis,halfmoon,mcal
lingcod,july,1408,2004,ophiodon elongatus,lingcod,oelo
opaleye,july,2,2004,girella nigricans,opaleye,gnig
bat ray,july,0,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,july,21,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,july,21,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,july,1966,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,july,166,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,july,267,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,july,62,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,july,1229,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,july,55,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,july,505,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,july,550213,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,july,29,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,july,3957,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,july,0,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,july,0,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,july,1,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,august,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,august,0,2004,medialuna californiensis,halfmoon,mcal
lingcod,august,638,2004,ophiodon elongatus,lingcod,oelo
opaleye,august,30,2004,girella nigricans,opaleye,gnig
bat ray,august,197,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,august,45,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,august,20,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,august,202,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,august,49,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,august,241,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,august,41,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,august,605,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,august,4,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,august,436,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,august,2447196,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,august,59,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,august,7399,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,august,22,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,august,0,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,august,0,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,september,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,september,1,2004,medialuna californiensis,halfmoon,mcal
lingcod,september,354,2004,ophiodon elongatus,lingcod,oelo
opaleye,september,24,2004,girella nigricans,opaleye,gnig
bat ray,september,0,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,september,0,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,september,33,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,september,52,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,september,11,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,september,478,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,september,150,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,september,173,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,september,21,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,september,167,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,september,1776111,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,september,69,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,september,4523,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,september,15,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,september,0,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,september,0,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,october,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,october,0,2004,medialuna californiensis,halfmoon,mcal
lingcod,october,288,2004,ophiodon elongatus,lingcod,oelo
opaleye,october,15,2004,girella nigricans,opaleye,gnig
bat ray,october,0,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,october,0,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,october,88,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,october,138,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,october,75,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,october,179,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,october,16,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,october,361,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,october,0,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,october,632,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,october,1488934,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,october,404,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,october,33,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,october,0,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,october,0,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,october,0,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,november,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,november,0,2004,medialuna californiensis,halfmoon,mcal
lingcod,november,0,2004,ophiodon elongatus,lingcod,oelo
opaleye,november,0,2004,girella nigricans,opaleye,gnig
bat ray,november,0,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,november,1,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,november,22,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,november,129,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,november,108,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,november,52,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,november,3,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,november,235,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,november,19,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,november,283,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,november,634819,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,november,92,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,november,0,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,november,0,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,november,0,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,november,0,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,december,0,2004,hexagrammos decagrammus,kelp greenling,hdec
halfmoon,december,0,2004,medialuna californiensis,halfmoon,mcal
lingcod,december,0,2004,ophiodon elongatus,lingcod,oelo
opaleye,december,0,2004,girella nigricans,opaleye,gnig
bat ray,december,0,2004,myliobatis californica,batray,bray
black-and-yellow rockfish,december,3,2004,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,december,27,2004,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,december,8,2004,sebastes paucispinis,bocaccio,spau
brown rockfish,december,0,2004,sebastes auriculatus,brown rockfish,saur
copper rockfish,december,17,2004,sebastes caurinus,copper rockfish,scau
gopher rockfish,december,2,2004,sebastes carnatus,gopher rockfish,scar
grass rockfish,december,72,2004,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,december,0,2004,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,december,123,2004,sebastes miniatus,vermilion rockfish,smin
pacific sardine,december,1180806,2004,sardinops sagax,Pacific sardine,ssag
california scorpionfish,december,61,2004,scorpaena guttata,California scorpionfish,sgut
california sheephead,december,0,2004,semicossyphus pulcher,California sheephead,spul
black surfperch,december,0,2004,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,december,0,2004,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,december,0,2004,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,january,0,2005,hexagrammos decagrammus,kelp greenling,hdec
lingcod,january,0,2005,ophiodon elongatus,lingcod,oelo
black-and-yellow rockfish,january,0,2005,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,january,5,2005,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,january,46,2005,sebastes paucispinis,bocaccio,spau
brown rockfish,january,84,2005,sebastes auriculatus,brown rockfish,saur
copper rockfish,january,194,2005,sebastes caurinus,copper rockfish,scau
gopher rockfish,january,22,2005,sebastes carnatus,gopher rockfish,scar
grass rockfish,january,35,2005,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,january,0,2005,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,january,150,2005,sebastes miniatus,vermilion rockfish,smin
pacific sardine,january,870775,2005,sardinops sagax,Pacific sardine,ssag
california scorpionfish,january,51,2005,scorpaena guttata,California scorpionfish,sgut
california sheephead,january,57,2005,semicossyphus pulcher,California sheephead,spul
black surfperch,january,0,2005,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,january,0,2005,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,january,0,2005,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,february,2,2005,hexagrammos decagrammus,kelp greenling,hdec
lingcod,february,0,2005,ophiodon elongatus,lingcod,oelo
black-and-yellow rockfish,february,0,2005,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,february,0,2005,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,february,339,2005,sebastes paucispinis,bocaccio,spau
brown rockfish,february,58,2005,sebastes auriculatus,brown rockfish,saur
copper rockfish,february,212,2005,sebastes caurinus,copper rockfish,scau
gopher rockfish,february,160,2005,sebastes carnatus,gopher rockfish,scar
grass rockfish,february,243,2005,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,february,1,2005,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,february,894,2005,sebastes miniatus,vermilion rockfish,smin
pacific sardine,february,202385,2005,sardinops sagax,Pacific sardine,ssag
california scorpionfish,february,219,2005,scorpaena guttata,California scorpionfish,sgut
california sheephead,february,1137,2005,semicossyphus pulcher,California sheephead,spul
black surfperch,february,0,2005,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,february,0,2005,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,february,0,2005,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,march,0,2005,hexagrammos decagrammus,kelp greenling,hdec
lingcod,march,0,2005,ophiodon elongatus,lingcod,oelo
black-and-yellow rockfish,march,0,2005,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,march,0,2005,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,march,0,2005,sebastes paucispinis,bocaccio,spau
brown rockfish,march,0,2005,sebastes auriculatus,brown rockfish,saur
copper rockfish,march,0,2005,sebastes caurinus,copper rockfish,scau
gopher rockfish,march,0,2005,sebastes carnatus,gopher rockfish,scar
grass rockfish,march,0,2005,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,march,0,2005,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,march,0,2005,sebastes miniatus,vermilion rockfish,smin
pacific sardine,march,4100,2005,sardinops sagax,Pacific sardine,ssag
california scorpionfish,march,0,2005,scorpaena guttata,California scorpionfish,sgut
california sheephead,march,73,2005,semicossyphus pulcher,California sheephead,spul
black surfperch,march,0,2005,embiotoca jacksoni,black surfperch,ejac
rubberlip surfperch,march,0,2005,rhacochilus toxotes,rubberlip seaperch,rtox
rock wrasse,march,0,2005,halichoeres semicinctus,rock wrasse,hsem
kelp greenling,april,0,2005,hexagrammos decagrammus,kelp greenling,hdec
lingcod,april,0,2005,ophiodon elongatus,lingcod,oelo
black-and-yellow rockfish,april,0,2005,sebastes chrysomelas,black-and-yellow rockfish,schr
blue rockfish,april,0,2005,sebastes mystinus,blue rockfish,smys
bocaccio rockfish,april,0,2005,sebastes paucispinis,bocaccio,spau
brown rockfish,april,0,2005,sebastes auriculatus,brown rockfish,saur
copper rockfish,april,0,2005,sebastes caurinus,copper rockfish,scau
gopher rockfish,april,0,2005,sebastes carnatus,gopher rockfish,scar
grass rockfish,april,0,2005,sebastes rastrelliger,grass rockfish,sras
kelp rockfish,april,0,2005,sebastes atrovirens,kelp rockfish,satr
vermilion rockfish,april,0,2005,sebastes miniatus,vermilion rockfish,smin
pacific sardine,april,10872,2005,sardinops sagax,Pacific sardine,ssag
california scorpionfish,april,0,2005,scorpaena guttata,California scorpionfish,sgut
